C,accuracy,macro_f1,weighted_f1,missing_precision,missing_recall,urgent_precision,urgent_recall
2.0,0.7463107917361735,0.7246780307908374,0.7456417532508417,0.7741935483870968,0.6666666666666666,0.5112540192926045,0.6022727272727273
4.0,0.7448992685743616,0.7239076998437316,0.7438649862511506,0.8275862068965517,0.6666666666666666,0.5275862068965518,0.5795454545454546
1.0,0.7396381367894264,0.7195386099513834,0.7386489539001698,0.75,0.6666666666666666,0.5029585798816568,0.6439393939393939
0.5,0.730270755806493,0.7063799175557952,0.7290203317317592,0.6486486486486487,0.6666666666666666,0.46883468834688347,0.6553030303030303
0.25,0.7200051328114975,0.6974623077817477,0.7171878827507138,0.6046511627906976,0.7222222222222222,0.4645669291338583,0.6704545454545454
