class_name,direction,rank,feature,weight
injured_or_dead_people,positive,7,kills,12.097567687315246
injured_or_dead_people,positive,8,death toll,12.073891246237528
injured_or_dead_people,positive,9,injured,10.754980795714872
injured_or_dead_people,positive,10,people,8.695923917142126
injured_or_dead_people,positive,11,killing,5.838362729092214
injured_or_dead_people,positive,12,at least,5.5268245513278105
injured_or_dead_people,positive,13,least,5.474017660028648
injured_or_dead_people,positive,14,kill,5.293724312054775
injured_or_dead_people,positive,15,lives,4.959402024692356
injured_or_dead_people,negative,1,damage,-4.578029674847248
injured_or_dead_people,negative,2,for,-4.41046534003635
injured_or_dead_people,negative,3,help,-3.467648021212674
injured_or_dead_people,negative,4,relief,-3.4036824371487766
injured_or_dead_people,negative,5,please,-3.1526637025276365
injured_or_dead_people,negative,6,dorian,-3.1396847537626296
injured_or_dead_people,negative,7,water,-2.9581862332930213
injured_or_dead_people,negative,8,aid,-2.8500375921976753
injured_or_dead_people,negative,9,donate,-2.786986889725738
injured_or_dead_people,negative,10,food,-2.7674109100016255
injured_or_dead_people,negative,11,nebraska,-2.5637784272587893
injured_or_dead_people,negative,12,hurricanedorian,-2.5259309615545296
injured_or_dead_people,negative,13,our,-2.5240168211343366
injured_or_dead_people,negative,14,damaged,-2.4894742540778756
injured_or_dead_people,negative,15,prayers,-2.479242657937629
missing_or_found_people,positive,1,missing,25.506529237643093
missing_or_found_people,positive,2,maryland,8.73580193062857
missing_or_found_people,positive,3,search,5.665007282528543
missing_or_found_people,positive,4,california,5.203022683674112
missing_or_found_people,positive,5,missing after,4.834492991178929
missing_or_found_people,positive,6,man,4.4819781404876124
missing_or_found_people,positive,7,find,4.446081879035442
missing_or_found_people,positive,8,for in,4.375142696931647
missing_or_found_people,positive,9,missing in,4.365954540229451
missing_or_found_people,positive,10,search for,4.1427360386561825
missing_or_found_people,positive,11,still missing,3.75403523477263
missing_or_found_people,positive,12,missing from,3.722273772388204
missing_or_found_people,positive,13,wildfires,3.5066082783581756
missing_or_found_people,positive,14,missing persons,3.401645162028655
missing_or_found_people,positive,15,guardsman,3.3743856640315824
missing_or_found_people,negative,1,dead,-4.155861147126415
missing_or_found_people,negative,2,to,-3.1343770580458425
missing_or_found_people,negative,3,hurricane,-2.9651180813010227
missing_or_found_people,negative,4,earthquake,-2.5870993741261765
missing_or_found_people,negative,5,toll in,-2.4419381623077436
missing_or_found_people,negative,6,harvey,-1.9524903965801719
missing_or_found_people,negative,7,dead and,-1.8852100600254038
missing_or_found_people,negative,8,our,-1.8369017238459424
missing_or_found_people,negative,9,31,-1.8250225920035315
missing_or_found_people,negative,10,irma,-1.7424287963682
missing_or_found_people,negative,11,relief,-1.7050310219740277
missing_or_found_people,negative,12,dozens,-1.6271045978845113
missing_or_found_people,negative,13,at,-1.6168888868826863
missing_or_found_people,negative,14,died,-1.5735918674127418
missing_or_found_people,negative,15,user,-1.527977987992629
not_humanitarian,positive,1,trump,7.653022769583589
not_humanitarian,positive,2,you,4.495915052756992
not_humanitarian,positive,3,trumps,4.4204756352311225
not_humanitarian,positive,4,he,4.311660626608839
not_humanitarian,positive,5,why,4.189270874097729
not_humanitarian,positive,6,fires,3.604918486534764
not_humanitarian,positive,7,nebraska,3.521716079571063
not_humanitarian,positive,8,blame,3.473528059855235
not_humanitarian,positive,9,pakistan,3.35854776665378
not_humanitarian,positive,10,me,3.3116766915947036
not_humanitarian,positive,11,shit,3.215189308690407
not_humanitarian,positive,12,while,3.1497916072490533
not_humanitarian,positive,13,im at,3.1477207169199595
not_humanitarian,positive,14,fuck,3.0876212720339504
not_humanitarian,positive,15,the,3.020359561795877
not_humanitarian,negative,1,donate,-7.479059637322148
not_humanitarian,negative,2,evacuation,-6.168811580579024
not_humanitarian,negative,3,cycloneidai,-5.7912486164543795
not_humanitarian,negative,4,damage,-5.718289760035034
not_humanitarian,negative,5,relief,-5.659821189565212
not_humanitarian,negative,6,help,-5.50679079265899
not_humanitarian,negative,7,please,-5.50119021401978
not_humanitarian,negative,8,donations,-5.460531379865012
not_humanitarian,negative,9,harvey,-5.407979916735726
not_humanitarian,negative,10,prayers,-5.223031633014375
not_humanitarian,negative,11,rescue,-4.9512274141553965
not_humanitarian,negative,12,irma,-4.9224646885007095
not_humanitarian,negative,13,affected,-4.745286083664615
not_humanitarian,negative,14,dead,-4.693333311226884
not_humanitarian,negative,15,toll,-4.608442199660838
other_relevant_information,positive,1,irma,4.165434525261235
other_relevant_information,positive,2,floods,4.128863819448585
other_relevant_information,positive,3,hurricaneharvey,3.862593489311209
other_relevant_information,positive,4,flooding,3.720156290847753
other_relevant_information,positive,5,water,2.842380828079806
other_relevant_information,positive,6,conditions,2.821785988732904
other_relevant_information,positive,7,irma victims,2.793378717810458
other_relevant_information,positive,8,how,2.7521862497661345
other_relevant_information,positive,9,stories,2.7231591404891944
other_relevant_information,positive,10,haiti,2.691535141754221
other_relevant_information,positive,11,hurricaneirma,2.2473802176085624
other_relevant_information,positive,12,information,2.2348328625821776
other_relevant_information,positive,13,areas,2.190250841138896
other_relevant_information,positive,14,flood,2.127062374138606
other_relevant_information,positive,15,fires,2.061783226202266
other_relevant_information,negative,1,damage,-13.70175736256433
other_relevant_information,negative,2,donate,-9.455260167039954
other_relevant_information,negative,3,evacuation,-9.404681322483311
other_relevant_information,negative,4,help,-9.135229974302042
other_relevant_information,negative,5,rescue,-8.823699220695035
other_relevant_information,negative,6,destroyed,-8.488764673195575
other_relevant_information,negative,7,donations,-8.101255693118047
other_relevant_information,negative,8,prayers,-7.669537050078408
other_relevant_information,negative,9,damaged,-7.603696281333768
other_relevant_information,negative,10,evacuees,-7.337642468137401
other_relevant_information,negative,11,evacuations,-7.0354922821551185
other_relevant_information,negative,12,dead,-6.907385193897996
other_relevant_information,negative,13,volunteers,-6.724087020495751
other_relevant_information,negative,14,killed,-6.488587842411029
other_relevant_information,negative,15,death,-6.2380598199567565
requests_or_urgent_needs,positive,1,need,15.856194309625753
requests_or_urgent_needs,positive,2,help,13.472553779099036
requests_or_urgent_needs,positive,3,needed,12.128091320082943
requests_or_urgent_needs,positive,4,needs,10.755050094640733
requests_or_urgent_needs,positive,5,please,9.499274143308241
requests_or_urgent_needs,positive,6,urgent,7.590767924735865
requests_or_urgent_needs,positive,7,food,6.71679856753642
requests_or_urgent_needs,positive,8,emergency,5.8094430684976
requests_or_urgent_needs,positive,9,urgently,5.468231992807695
requests_or_urgent_needs,positive,10,water,4.978149816141963
requests_or_urgent_needs,positive,11,need of,4.829152213897821
requests_or_urgent_needs,positive,12,please help,4.1347043586919865
requests_or_urgent_needs,positive,13,request,4.0910771798249375
requests_or_urgent_needs,positive,14,supplies,3.9066894727741888
requests_or_urgent_needs,positive,15,medicine,3.816150830667307
requests_or_urgent_needs,negative,1,damage,-5.7010527493154335
requests_or_urgent_needs,negative,2,prayers,-4.380541039620425
requests_or_urgent_needs,negative,3,donate,-4.34086458259515
requests_or_urgent_needs,negative,4,donations,-4.299291763284482
requests_or_urgent_needs,negative,5,pray,-4.229408125447861
requests_or_urgent_needs,negative,6,destroyed,-3.8564938106323527
requests_or_urgent_needs,negative,7,pray for,-3.4813874689497646
requests_or_urgent_needs,negative,8,california,-3.43976247216794
requests_or_urgent_needs,negative,9,irma,-3.294707110407839
requests_or_urgent_needs,negative,10,evacuation,-3.292189519043323
requests_or_urgent_needs,negative,11,volunteers,-3.091164990016684
requests_or_urgent_needs,negative,12,thoughts,-2.9858772916044054
requests_or_urgent_needs,negative,13,donated,-2.9736128579639725
requests_or_urgent_needs,negative,14,to,-2.8677900317544838
requests_or_urgent_needs,negative,15,praying,-2.8582537346935557
rescue_volunteering_or_donation_effort,positive,1,donate,16.472624585930774
rescue_volunteering_or_donation_effort,positive,2,donations,14.58093574322979
rescue_volunteering_or_donation_effort,positive,3,rescue,14.526283671508546
rescue_volunteering_or_donation_effort,positive,4,volunteers,12.165197857258077
rescue_volunteering_or_donation_effort,positive,5,donated,11.422776968293892
rescue_volunteering_or_donation_effort,positive,6,relief,11.007748741601574
rescue_volunteering_or_donation_effort,positive,7,donation,9.52292757698309
rescue_volunteering_or_donation_effort,positive,8,rescued,9.056867261734595
rescue_volunteering_or_donation_effort,positive,9,donating,8.799400571622426
rescue_volunteering_or_donation_effort,positive,10,to,6.773405910189544
rescue_volunteering_or_donation_effort,positive,11,rescues,6.747126807241751
rescue_volunteering_or_donation_effort,positive,12,donates,6.205946022664299
rescue_volunteering_or_donation_effort,positive,13,helping,5.910234172800397
rescue_volunteering_or_donation_effort,positive,14,volunteer,5.517526110728998
rescue_volunteering_or_donation_effort,positive,15,aid,5.391935961284978
rescue_volunteering_or_donation_effort,negative,1,damage,-8.610606114862296
rescue_volunteering_or_donation_effort,negative,2,prayers,-6.648116273255702
rescue_volunteering_or_donation_effort,negative,3,dead,-5.493126777483978
rescue_volunteering_or_donation_effort,negative,4,pray,-5.138258198349382
rescue_volunteering_or_donation_effort,negative,5,evacuation,-5.0910723758765135
rescue_volunteering_or_donation_effort,negative,6,thoughts,-4.84787493783202
rescue_volunteering_or_donation_effort,negative,7,destroyed,-4.847444835403359
rescue_volunteering_or_donation_effort,negative,8,killed,-4.81527351419305
rescue_volunteering_or_donation_effort,negative,9,death,-4.672660586721495
rescue_volunteering_or_donation_effort,negative,10,death toll,-4.229154085937813
rescue_volunteering_or_donation_effort,negative,11,toll,-4.073133301847611
rescue_volunteering_or_donation_effort,negative,12,pray for,-4.029219100296148
rescue_volunteering_or_donation_effort,negative,13,trump,-3.999287459659447
rescue_volunteering_or_donation_effort,negative,14,evacuees,-3.989420878319881
rescue_volunteering_or_donation_effort,negative,15,praying,-3.7962790701322224
sympathy_and_support,positive,1,prayers,17.88081967850229
sympathy_and_support,positive,2,pray,14.830199400774767
sympathy_and_support,positive,3,praying,12.976341613264212
sympathy_and_support,positive,4,thoughts,10.80708408773536
sympathy_and_support,positive,5,pray for,7.8416755567594505
sympathy_and_support,positive,6,prayer,7.718603730830502
sympathy_and_support,positive,7,prayfortexas,7.547941677794695
sympathy_and_support,positive,8,praying for,7.257951150542963
sympathy_and_support,positive,9,support,6.756617286520624
sympathy_and_support,positive,10,allah,6.621868095700414
sympathy_and_support,positive,11,hope,6.548175228051181
sympathy_and_support,positive,12,safe,6.474157267613486
sympathy_and_support,positive,13,prayforitaly,5.72538003510361
sympathy_and_support,positive,14,help,5.700985996627956
sympathy_and_support,positive,15,everyone,5.624692527770006
sympathy_and_support,negative,1,donate,-7.821324646263932
sympathy_and_support,negative,2,donations,-5.514427724493649
sympathy_and_support,negative,3,rescue,-4.453951848589219
sympathy_and_support,negative,4,damage,-4.354235961727076
sympathy_and_support,negative,5,donated,-4.285691304037132
sympathy_and_support,negative,6,dead,-4.003432328799328
sympathy_and_support,negative,7,donation,-3.9032444072189634
sympathy_and_support,negative,8,donating,-3.8729938843840648
sympathy_and_support,negative,9,relief,-3.484471432600646
sympathy_and_support,negative,10,water,-3.407613226706522
sympathy_and_support,negative,11,food,-3.2357984167081892
sympathy_and_support,negative,12,money,-3.109363612524653
sympathy_and_support,negative,13,volunteers,-2.9921694151911895
sympathy_and_support,negative,14,harvey,-2.9850382880727873
sympathy_and_support,negative,15,destroyed,-2.9644640218390452
